,TEMA,TÍTULO,CONTENIDO,ENLACE,IMAGEN,FECHA
314,Reflexiones,,"Nos escondemos en el bosque ideológico para apreciar mejor entre las sombras la belleza de los rayos de Luz de la Verdad, pero eventualmente tendremos que salir, poco a poco, para no quedar insolados por el Sol de mediodía.",,,2025-03-18 09:32
313,Apotegmas,,"A más mentira, más verdad, razón por la cual el mal siempre actúa en oculto.",,,2025-03-18 09:30
312,Apotegmas,,La fe es para el raciocinio lo que el fuego para el papel.,,,2025-03-18 09:28
311,Apotegmas,,"No batalles contra los pensamientos impropios, simplemente exponlos a la luz de la contemplación y se desvanecerán.",,,2025-03-18 09:26
310,Apotegmas,,"Si alguien te pide que creas en Dios, explícale que Dios no es una creencia.",,,2025-03-18 08:22
309,Reflexiones,,"Rumbo a la normalización de la brujería y el satanismo. Primero te hicieron creer que eso nunca existió y que es mera superstición, y después te infantilizaron para que lo aceptes como diversión o como una moda más.",,,2025-03-15 17:13
308,Apotegmas,,"La Verdad siempre es una persona, pero el engaño también.",,,2025-03-15 17:12
307,Apotegmas,,"No existe la nada, y si existiera no produciría nada y llevaría a la nada, que es lo opuesto a toda verdad.",,,2025-03-15 17:10
306,Apotegmas,,El populismo es una enfermedad social que sólo se cura con el sufrimiento del pueblo.,,,2025-03-15 17:08
305,Reflexiones,,"Generamos el tiempo y la distancia cuando nos apartamos del Ser, para poder percibir la realidad separada de nosotros.",,,2025-03-14 18:53
304,Apotegmas,,"Entre una persona que te trata bien para que la sigas y otra que te trata mal para que busques la verdad, quédate con la segunda.",,,2025-03-14 18:52
303,Apotegmas,,Dale a la gente algo que idolatrar y te seguirán. Dales algo de verdad y te perseguirán.,,,2025-03-14 18:51
302,Citas,,Tenemos arte para no morir de la verdad. – Friedrich Nietzsche,,,2025-03-13 23:59
301,Vocabulario inglés-español,blunder [s.],"blunder [s.] metedura de pata ¶ Though not wholly a stranger to the sea, the author is quite aware of the blunders to which a landsman is exposed in treating of matters and a mode of life which, at the best, he must comprehend but imperfectly – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr. ¶ The general’s decision to march the troops through the swamp was a tactical blunder that cost many lives. – Grok ¶ The politician’s blunder of insulting a key ally on live television sparked a diplomatic crisis. – Grok ¶ In chess, moving his queen too early proved to be a blunder that handed his opponent the game. – Grok ¶ The company’s blunder in releasing an untested product led to a flood of customer complaints. – Grok ¶ In the midst of an already tense negotiation, the junior diplomat committed a colossal blunder by mispronouncing the foreign dignitary’s name—not once, but three times—before accidentally knocking over a tray of drinks, turning a delicate diplomatic exchange into an awkward spectacle that would be recounted for years. – Grok",,,2025-03-13 22:45
300,Vocabulario inglés-español,at all hazards [loc.],"at all hazards [loc.] a todo trance; a todo coste ¶ But it will be found that they were met with the same manly spirit, and a like determination to be faithful to duty at all hazards. Though not wholly a stranger to the sea, the author is quite aware – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr. ¶ he scout, remembering only his own sturdy and iron nature, had probably exacted a task that David, under no circumstances, could have performed; yet had he deemed it prudent to venture at all hazards. – The Last of the Mohicans; by James Fenimore Cooper ¶ He had been lucky in his profession; but spending freely, what had come freely, had realized nothing. But he was confident that he should soon be rich: full of life and ardour, he knew that he should soon have a ship, and soon be on a station that would lead to everything he wanted, at all hazards. – Persuasion; by Jane Austen ¶ He resolved to make one last effort, and if he failed, to abandon himself at all hazards to the mercy of the waves. – The Count of Monte Cristo; by Alexandre Dumas ¶ But as it was deemed inadvisable to proceed against them openly, the officers resolved to maintain order at all hazards. – White-Jacket; by Herman Melville ¶ I determined, at all hazards, to return to England, and to take my chance of discovering what had really happened – The Woman in White; by Wilkie Collins ¶ We must reach the capital at all hazards, for there alone could we hope to find safety. – Kidnapped; by Robert Louis Stevenson ¶ I determined that, come what might, I would stick to my post at all hazards, and see this strange business through to the end. – The Hound of the Baskervilles; by Sir Arthur Conan Doyle",,,2025-03-13 22:41
299,Vocabulario inglés-español,like [adj.],"like [adj.] semejante ¶ The king doth wake to-night and takes his rouse, / Keeps wassail, and the swaggering up-spring reels; / And, as he drains his draughts of Rhenish down, / The kettle-drum and trumpet thus bray out / The triumph of his pledge, with like noise to that of war. – Hamlet, Act I, Scene IV; by William Shakespeare ¶ Marianne’s pianoforte was unpacked and properly disposed of; and Elinor’s drawings were affixed to the walls of their sitting room, with like care to that of their former home. – Sense and Sensibility, Chapter 6; by Jane Austen ¶ The wine was red wine, and had stained the ground of the narrow street in the suburb of Saint Antoine, in Paris, where it was spilled, with like hue to that of blood. – A Tale of Two Cities, Book I, Chapter 5; by Charles Dickens ¶ Hepzibah, at all events, was indebted to its subtile operation, both in body and spirit; so that she grew younger, and even prettier, with like charm to that of her youth. – The House of the Seven Gables, Chapter 8; Nathaniel Hawthorne; by Nathaniel Hawthorne ¶ The shepherd’s dog barked fiercely when one of these alien figures crossed the field, with like suspicion to that of his master. – Silas Marner, Chapter 1; George Eliot ¶ Gabriel, in descending the cutting, stood upon a like eminence to that of the sheep, and watched the flock with equal care. – Far from the Madding Crowd, Chapter 5; by Thomas Hardy ¶ He stood still, looking at me with a like intensity to that of a man who has seen a ghost. – Lord Jim, Chapter 5; Joseph Conrad; by Joseph Conrad ¶ He had married (as most young men did) because Ellen Olenska had filled him with a restless longing; and now he sat, with like restlessness, beside his wife. – The Age of Innocence, Chapter 1; by Edith Wharton ¶ Thus they in mutual accusation spent / The fruitless hours, but neither self-condemning; / And of their vain contest appeared no end, / With like confusion to that first debate. – Paradise Lost, Book IX, Line 1187; by John Milton  ¶ But it will be found that they were met with the same manly spirit, and a like determination to be faithful to duty at all hazards. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-03-13 22:39
298,Vocabulario inglés-español,meet [v.],"meet [v.] afrontar ¶ Charlie is called upon to encounter are of a severer character than befell Frank Frost or Paul Prescott. But it will be found that they were met with the same manly spirit, and a like determination – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-03-13 22:37
297,Vocabulario inglés-español,befall [v.],"befall [v.] acaecer, suceder ¶ and the trials which Charlie is called upon to encounter are of a severer character than befell Frank Frost or Paul Prescott. But it will be found that they – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-03-13 22:32
296,Citas,,"Aquella teoría que no encuentre aplicacion práctica en la vida, es una acrobacia del pensamiento. – Swami Vivekananda",,,2025-03-13 12:07
295,Vocabulario inglés-español,hypallage [s.],hypallage [s.] /hy.PAL.la.ge/ hipálage (figura retórica) ¶ Ejemplos de Grok: The weary road stretched endlessly before them. / She tossed her angry hair and stormed out. / The cold wind whispered through the trees. / He sipped the bitter silence of the empty room. / The drowsy clock ticked on through the night.,,,2025-03-13 11:53
294,Diario,,"Cambié la fuente del sitio a Inter. Es parecida a Arial, pero con mejores proporciones y más claridad. Pensaba también en Roboto, pero de momento la elegida es Inter.",,,2025-03-13 09:34
293,Citas,,"Todos los hombres son sabios; los unos antes, los otros después. – Proverbio chino",,,2025-03-13 09:11
292,Reflexiones,,Si supieras lo fácil que es esclavizarte en nombre de la libertad.,,,2025-03-10 17:19
291,Apotegmas,,Miénteme una vez y te odiaré. Miénteme dos veces y te amaré por siempre.,,,2025-03-10 17:18
290,Apotegmas,,Las cosas que no se pueden decir no necesariamente son una verdad.,,,2025-03-10 17:17
289,Diario,,"Ahora los diversos temas muestran, además de las diez entradas más recientes, un mensaje clicable al pie para enumerar alfabéticamente todas las entradas del tema o etiqueta en cuestión. De utilidad en caso de que el lector desee continuar la navegación pormenorizada.",,,2025-03-09 22:29
288,Citas,,Si no chocamos contra la razón nunca llegaremos a nada. – Albert Einstein,,,2025-03-09 12:19
287,Apotegmas,,El universo es tan grande que cabe en tu corazón.,,,2025-03-08 09:13
286,Poesía,,De amor el cuerpo se atiza ¦ De esperanza el mundo se aprisa.,,,2025-03-06 17:59
285,Vocabulario español,museal [adj.],museal [adj.] Museístico. (Del italiano <i>museale</i>.),,,2025-03-06 11:16
284,Vocabulario español,bulo [m.],"SINÓNIMOS: camelo, infundio, trola, paparrucha, hablilla, filfa, habladuría, rumor",,,2025-03-06 08:57
283,Vocabulario español,parla [f.],"parla [f.] Parlería, parola, cháchara insustancial. ¶ La parla cotidiana de la política tercermundista.",,,2025-03-06 08:53
282,Reflexiones,,"Sí, ya estamos en el siglo XXIII y todavía hay gente que es de izquierdas o de derechas, adolescentes eternos huyendo de la realidad. Otros, más inteligentes, fingen ser de algún color político para filtrar poco a poco la verdad usando a quienes creen en los partidos. Fantástico.",,,2025-03-06 08:52
281,Apotegmas,,La religión puede convertirte en un mitómano empedernido y sectario. Practícala conscientemente.,,,2025-03-06 08:51
280,Apotegmas,,"Pídele a Dios que te despierte, de modo que no necesites vivir el mito de nadie más ni el creado por ti mismo. Sólo para valientes.",,,2025-03-06 07:20
279,Citas,,"El progreso no es un accidente, es una necesidad, una parte de la naturaleza. – Herber Spencer",,,2025-03-05 13:46
278,Enlaces,vocabulario español | panenteísmo,vocabulario español | panenteísmo,https://dle.rae.es/panente%C3%ADsmo,,2025-03-05 13:29
277,Reflexiones,,"Respeto y defiendo tu derecho a opinar, pero no necesariamente tu opinión.",,,2025-03-05 11:07
276,Apotegmas,,Cuídate de quienes te dicen que el mundo es una ilusión para luego venderte una fórmula secreta de escape. La existencia es el propósito.,,,2025-03-05 11:06
275,Apotegmas,,"Todo el que se apodera del mundo, se hace esclavo del mundo.",,,2025-03-05 11:03
274,Diario,,"En ocasiones la ciudad se mueve bajo mis pies, sólo para divertirse y hacerme creer que soy yo quien decidió salir y pasear.",,,2025-03-05 10:53
273,Reflexiones,,"Me cansé de ver el atardecer y no ser nube, no ser horizonte, no ser sol.",,,2025-03-04 21:48
272,Apotegmas,,"Todo mito es un cuento hasta que le entregas tu ser, dándole vida, encarnándolo. Pero hay mitos que preceden a tu propia existencia y han dado origen a tu ser.",,,2025-03-04 21:46
271,Enlaces,bibliotecas | Elejandria,Con lista de libros populares y descarga de libros en formato PDF e Epub.,https://www.elejandria.com/,,2025-03-04 21:41
270,Enlaces,bibliotecas | Wikisource,bibliotecas | Wikisource,https://es.wikisource.org/wiki/Portada,,2025-03-04 21:39
269,Enlaces,Biblias interlineales | LogosKLogos,Biblias interlineales | LogosKLogos,https://www.logosklogos.com/,,2025-03-04 21:38
268,Reflexiones,,¿Buscas la esencia de las cosas? Te quedarás con el hollejo.,,,2025-03-03 10:47
267,Reflexiones,,"Si ves a alguien contaminando el aire con CO₂ por respirar demasiado, denúncialo sin dudar a las autoridades competentes. Ellos se harán cargo y tú sentirás que eres un ciudadano ejemplar. ¡Que nadie te impida hacer el bien!",,,2025-03-03 10:46
266,Apotegmas,,"La Senda antigua, la que existe desde más allá del tiempo, antes de toda creación. Si la encuentras, no la abandones.",,,2025-03-03 10:40
265,Vocabulario inglés-español,feud [s.],"feud [s.] desavenencia, rencilla, enemistad, discordia ¶ This ferment of unrest, which was provoked in the years 1903-1904, was exacerbated in the winters that followed by the renewed outbreak of the century-long racial feud between the Tatars and the Armenians at Baku and other places.",,,2025-03-02 09:20
264,Enlaces,Biblias | King James Bible,"La Biblia King James Bible o King James Version completa, con los libros deuterocanónicos y la versión original de 1611.",https://www.kingjamesbibleonline.org,,2025-03-01 22:26
263,Vocabulario español,"carlanca, carranca [f.]","carlanca, carranca [f.] Collar ancho, por lo general de cuero y con púas de hierro, para proteger a los mastines y otros perros de las mordeduras de los lobos.",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Roccale_2.jpg/1200px-Roccale_2.jpg?20110622114745,2025-03-01 20:45
262,Enlaces,vocabulario español | ganga,vocabulario español | ganga,https://dle.rae.es/ganga,,2025-03-01 17:45
261,Apotegmas,,"Dios no te observa y guía desde fuera solamente, también te observa y guía desde dentro. Sé, pues, fiel a ti mismo para ser fiel a Dios y sé fiel a Dios para ser fiel a ti mismo, hasta que veas que no hay dentro y fuera.",,,2025-03-01 17:37
260,Apotegmas,,Dile a Dios lo que tiene que hacer y él te dará lo que necesitas.,,,2025-02-28 12:48
259,Vocabulario español,tal vez [loc.],tal vez [loc.] De vez en cuando; en rara ocasión; tal cual vez.,,,2025-02-28 10:40
258,Apotegmas,,"No pierdas el tiempo ni te entretengas con nada en los cielos ni en la tierra, ve directo con Dios. La vida es eterna, pero tu paso por ella no.",,,2025-02-28 10:31
257,Apotegmas,,"La santidad para las aves del cielo, el sacrificio de la carne para los hijos del hombre.",,,2025-02-27 19:10
256,Citas,,The urge to save humanity is almost always a false front for the urge to control it. – H. L. Mencken,,,2025-02-27 11:16
255,Apotegmas,,"Te parece que Dios está lejos porque nunca has sabido dónde buscarlo y porque tienes una idea equivocada de él. Dios ya es, no inventes uno.",,,2025-02-27 09:39
254,Reflexiones,,"No es curioso, pero en todos los países que lo tienen, el populismo convierte la delicuencia en una causa social.",,,2025-02-27 09:36
253,Apotegmas,,No llamemos identidad a la ignorancia.,,,2025-02-27 09:35
252,Citas,,Que no sea de otro quien puede ser nueño de sí mismo. – Paraselso (Theophrastus Bombart von Hohenheim),,,2025-02-26 17:03
251,Citas,,"Cuando el niño destroza su juguete, parece que anda buscándole el alma. – Victor Hugo",,,2025-02-26 16:59
250,Diario,,"He hecho los cambios de programación necesarios para incluir imágenes en el sitio, en la parte inferior de cualquiera de las entradas. Es una función muy necesaria.",,,2025-02-24 21:00
249,Apotegmas,,"No manches tu fe con racionalismos, con milagrería, con sectarismos, con ritualismos. Déjala intacta, que permanezca pura.",,,2025-02-24 17:07
248,Citas,,Sin mentiras la humanidad moriría de desesperación y aburrimiento. – Anatole France,,,2025-02-24 17:04
247,Citas,,"Soportaría gustosa una docena más de desencantos amorosos, si ello me ayudara a perder un par de kilos. – Colette (novelista francesa)",,,2025-02-24 16:47
246,Citas,,"Las leyes demasiado benignas rara vez son obedecidas; las demasiado severas, rara vez ejecutadas. – Benjamín Franklin",,,2025-02-24 16:45
245,Citas,,Más vale un grano de cordura que arrobas de sutileza. – Baltasar Gracián,,,2025-02-24 10:17
244,Vocabulario inglés-español,trial [s.],"trial [s.] dificultad, tribulación, prueba, adversidad ¶ and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. It will be found more adventurous than its predecessors, and the trials which Charlie is called upon to encounter are of a severer character than befell Frank Frost or Paul Prescott. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:49
243,Vocabulario inglés-español,adventurous [adj.],"adventurous [adj.] osado, audaz, temerario, intrépido ¶ He was spotlessly neat, apparelled in immaculate white from shoes to hat, and in the various Eastern ports where he got his living as ship-chandler’s water-clerk he was very popular. He was an adventurous soul, but his adventures were of the quiet, domestic kind. – Lord Jim; by Joseph Conrad ¶ The captain was a heavy man, and he took a deal of time to get up the side, but at last he managed it, and then he stood looking about him in a very puzzled way. He had an adventurous air that somehow suited him, and his blue eyes were as bright as a boy’s. – Treasure Island; by Robert Louis Stevenson ¶ He was a magnificent atavism, a man so purely primitive that he was of the type that came into the world before the development of the moral nature. He was not immoral, but merely unmoral. He was adventurous, and his adventures had been many and strange. – The Sea-Wolf; by Jack London ¶ He has a strong dash of pride, which might perhaps be forgiven in one so able, and he is, of course, well known for his adventurous spirit. But nothing can excuse his recent conduct. – The Lost World; by Sir Arthur Conan Doyle ¶ For one, I gave myself up to the abandonment of the time and the place; but while yet all a-rush to encounter the whale, could see naught in that brute but the deadliest ill. Yet was this half-horrible stolidity in him, involving, too, as it appeared, an all-ramifying heartlessness;—yet was it oddly dashed at times, with an adventurous, oftentimes a magnanimous durability. – Moby-Dick; by Herman Melville ¶ His life amidst the dangers of the jungle had taught him to be adventurous, but it had also taught him caution. He knew that death lurked in the trees, the water, and the long grasses. – Tarzan of the Apes; by Edgar Rice Burroughs ¶ Heyward knew not what to think of this new and adventurous spirit that seemed to have taken possession of his usually quiet companion; but he had little leisure for reflection. – The Last of the Mohicans; by James Fenimore Cooper ¶ and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. It will be found more adventurous than its predecessors, and the trials which Charlie is called upon to encounter are of a severer character than befell Frank Frost or Paul Prescott. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:41
242,Vocabulario inglés-español,story of the sea [s.c.],"story of the sea [s.c.] historia de mar; relato de mar ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:38
241,Vocabulario inglés-español,essay [v.],"essay [v.] intentar; ensayar ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:34
240,Citas,,Los ejemplos son diez veces más útiles que los preceptos. – Charles James Fox,,,2025-02-23 11:52
239,Citas,,"Cuando tengo que elegir entre dos males, siempre prefiero aquel que no he probado. – Mae West",,,2025-02-23 11:48
238,Vocabulario inglés-español,expressed wishes [s.c.],"expressed wishes [s.c.] deseos manifiestos ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 10:47
237,Apotegmas,,"Que las vanas complejidades y mojigaterías del reino de los cielos no te extravíen ni te distraigan de la simpleza y el amor absoluto de Dios. Permanece firme, deséchalo todo, no te dividas.",,,2025-02-23 10:05
236,Apotegmas,,"Del Diablo sólo viene la condenación, y de Dios solamente la salvación.",,,2025-02-23 09:51
235,Apotegmas,,Se regocijan en el cielo por cada persona que dirige todo su ser en oración a Dios. Literalmente hay fiesta.,,,2025-02-22 10:40
234,Citas,,Conocimiento es saber que el tomate es una fruta. Sabiduría es no ponerlo en la ensalada de frutas. – Anónimo,,,2025-02-22 08:09
233,Frases chinas,這是一棵樹。,"CT. 這是一棵樹。 ¦ CS. 这是一棵树。 ¦ PY. Zhè shì yī kē shù. ¦ TR. Esto es un árbol. ¶ 這 (这) [zhe4] esto, esta, este ¦ 是 (是) [shi4] ser ¦ 一 (一) [yi1] uno; un, una ¦ 棵 (棵) [ke1] (clasificador para árboles y plantas) ¦ 樹 (树) [shu4] árbol",,,2025-02-22 07:36
232,Caracteres chinos,樹 (树) [shù],"<b>Forma tradicional:</b> Radical 75. 木 [mu4] árbol, madera + 尌 [shu4] erguido, en pie - en este caso es un componente fonético ¶ <b>Forma simplificada:</b> Radical 75. 木 [mu4] árbol, madera + 对 [dui4] correcto - en este caso es un componente fonético ¶ <b>Significados:</b> 樹 (树) [shu4] árbol; plantar, cultivar; establecer",,,2025-02-20 22:31
231,Apotegmas,,"No olvides que Dios no es omnipotente, porque no puede forzarte a volverte a él. Entonces, has de definir tus intenciones, tomar las decisiones mejores, abrazar su voluntad. Y, sobre todo, no caigas en la ilusión de que has sido elegido, pues Dios nunca hace acepción de personas.",,,2025-02-20 22:29
230,Citas,,"Me gustaría vivir eternamente, por lo menos para ver cómo en cien años las personas cometen los mismos errores que yo. – Winston Churchil",,,2025-02-20 11:32
229,Reflexiones,,"No seas una oveja, sé una cabra: sube al monte al encuentro con Dios. Sabes que tú eres el monte, ¿verdad? Sabes que la zarza es la Luz de Dios en ti, ¿verdad? Sabes que quienes no suben son los que no quieren morir en la carne, que es su falsa religiosidad, ¿verdad?",,,2025-02-19 21:52
228,Apotegmas,,"Una vez que empiezas a usar fetiches, amuletos y baratijas para que te vaya bien, se te hará muy difícil dejar el vicio para volver a confiar en Dios. Es el mismo mecanismo que el de las apuestas.",,,2025-02-19 21:48
227,Apotegmas,,"No mires mi humildad, Señor, porque es falsa; tampoco mi altivez, porque es ignorancia. Sólo quiero tu amor, y con eso basta.",,,2025-02-19 10:01
226,Apotegmas,,"Mientras más aberraciones puede normalizar la Agenda, más feliz es. No le demos el gusto.",,,2025-02-19 07:52
225,Citas,,La vida es fascinante: sólo hay que mirarla a través de las gafas correctas. – Alejandro Dumas,,,2025-02-18 20:30
224,Diario,,"El sitio ha alcanzado plena funcionalidad y se han corregido las fallas de programación. Faltan algunos detalles, además de la posibilidad de mostrar imágenes desde la base de datos. Otras implementaciones vendrán después, pero con menos urgencia.",,,2025-02-18 14:38
223,Citas,,La mayoría de las personas abandonan sus vicios sólo cuando les causan molestias. – William Somerset Maugham,,,2025-02-18 14:37
222,Vocabulario inglés-español,in deference to [loc.],"in deference to [loc.] en consideración a ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-18 13:06
221,Diario,,"Hoy terminé de subir todos mis enlaces de interés a un repositorio en GitHub, miles de ellos. El sitio cuenta con posibilidades de busca, copia y descarga. También se puede visitar con el enlace <code>e.jucardus.com</code>.",https://enlcs.github.io,,2025-02-17 20:11
220,Reflexiones,,Ahora resulta que pie grande era un adelantado a su tiempo que se autopercibía oso o chimpancé según el día de la semana. Un incomprendido.,,,2025-02-16 00:02
219,Vocabulario inglés-español,cast iron [s.c.],cast iron [s.c.] hierro fundido,,,2025-02-13 22:08
218,Vocabulario inglés-español,wrought iron [s.c.],wrought iron [s.c.] hierro forjado,,,2025-02-13 22:07
217,Citas,,Un hombre sabio se procurará más oportunidades de las que se le presentan. – Francis Bacon,,,2025-02-13 22:04
216,Citas,,"En la vejez se aprende mejor a esconder los fracasos; en la juventud, a soportarlos. – Arthur Schoppenhauer",,,2025-02-13 22:02
215,Vocabulario español,"extemporáneo, ea [adj.]","SINÓNIMOS: inadecuado, impropio, inconveniente, inapropiado; intempestivo, inoportuno, extemporal",,,2025-02-13 15:21
214,Citas,,Toda revolución se evapora y deja atrás sólo el limo de una nueva burocracia. – Franz Kafka,,,2025-02-13 15:19
213,Citas,,"Para ver un cuadro se requieren muchas cosas; la primera de ellas, una silla. – Anselm von Feuerbach",,,2025-02-13 15:18
212,Citas,,"No creo en la muerte porque uno no está presente para saber que, en efecto, ha ocurrido. – Andy Warhol",,,2025-02-13 15:16
211,Apotegmas,,"Reducir a Dios a conceptos te hará sentir fuerte y confiado; ¿pero no has leído que Dios está con los humildes, los pobres de espíritu y los niños?",,,2025-02-13 13:53
210,Apotegmas,,"Si no hay alguien que me esclavice, me esclavizo yo solo.",,,2025-02-13 12:01
209,Apotegmas,,"Busca a Dios, sobre todo y mucho más cuando creas haberlo encontrado. Hay una razón por la que se dice que es insondable.",,,2025-02-13 11:52
208,Apotegmas,,Sabes que es tiempo de cambiar de secta cuando tu maestro/maestra te dice que es Dios y que también tú puedes serlo con su guía.,,,2025-02-13 08:25
207,Poesía,,A la guerra nos dirigimos ¦ cantando y bailando... ¦ A los hombres esclavizamos ¦ durmiendo y soñando... ¦ De los muertos nos olvidamos ¦ comiendo y comprando...,,,2025-02-12 18:45
206,Vocabulario español,"garzo, -za [adj.]","garzo, -za [adj.] Zarco; de color azulado (dícese de los ojos). Persona de ojos azulados.",,,2025-02-12 14:42
205,Vocabulario inglés-español,drool [v.],drool [v.] babear,,,2025-02-12 14:40
204,Citas,,"Recordad el pasado con gratitud, vivid el presente con entusiasmo y mirad hacia el futuro con confianza. – Juan Pablo II",,,2025-02-12 14:38
203,Apotegmas,,"Cuando alguien cuestione tus convicciones acerca de Dios, no le respondas con sinsentidos filosóficos, historicistas, teológicos y seudoreligiosos. La solución es ser humilde de verdad y expresar con simpleza la única verdad con fundamento: Es un asunto de fe.",,,2025-02-12 13:14
202,Apotegmas,,Hay quien escupe al cielo para sentirse bendecido con la lluvia de Dios.,,,2025-02-11 20:38
201,Reflexiones,,"Bajo la palabra Dios se hace alusión a más variedad de cosas que lo que piensas. Si el contenido de esa palabra en ti es el equivocado, estarás adorando a un falso dios, lo cual es idolatría sin importar si haces una estatua de él o no, pero mucho más si la haces.",,,2025-02-11 20:36
200,Vocabulario inglés-español,lecherous [adj.],"lecherous [adj.] lascivo, lujurioso, libidinoso, licencioso ¶ ""The old man's lecherous gaze followed the young maid as she moved about the room, his eyes lingering on her form with a hunger that made her skin crawl. She quickened her pace, eager to escape his attention."" (Shakespeare, The Merry Wives of Windsor, 4.2.12-15) ¶ ""He was known throughout the village as a lecherous rogue, always making improper advances toward the farmers' daughters. His reputation preceded him wherever he went, and fathers would hide their girls when he came calling."" (Lawrence, Lady Chatterley's Lover, 1928, p. 67) ¶ ""His lecherous behavior at the office party had gone too far this time. Several women had complained about his wandering hands and inappropriate comments, forcing HR to finally take action."" (Updike, Rabbit, Run, 1960, p. 112) ¶ ""The bar was filled with lecherous old men nursing their beers while staring hungrily at the young waitress. She moved between tables with practiced efficiency, avoiding their grasping hands and crude remarks."" (Miller, Tropic of Cancer, 1934, p. 89) ¶ ""There was something particularly vile about his lecherous smirk that made her want to wash her hands after every interaction. He seemed to take pleasure in making women uncomfortable, reveling in their discomfort."" (Joyce, Ulysses, 1922, p. 342) ¶ ""The casting couch stories were true - producers with lecherous intentions would promise young actresses roles in exchange for sexual favors. It was an open secret in Hollywood that nobody dared challenge."" (Bukowski, Women, 1978, p. 56) ¶ ""King Robert's lecherous habits were legendary throughout the Seven Kingdoms. He would bed anything in a skirt, from noble ladies to tavern wenches, leaving a trail of bastards across Westeros."" (Martin, A Storm of Swords, 2000, p. 403) ¶ ""The professor's lecherous reputation made female students avoid his office hours. His habit of 'accidentally' brushing against them when they came for help had been reported multiple times, but the administration turned a blind eye."" (Huxley, Brave New World, 1932, p. 78) ¶ ""His lecherous fantasies consumed him, playing out in vivid detail during every waking moment. He knew it was wrong, but the images kept coming, more depraved each time."" (Roth, Portnoy's Complaint, 1969, p. 134) ¶ ""The sergeant's lecherous behavior toward the nurses was tolerated because of his combat record. They endured his groping and crude jokes, knowing complaints would fall on deaf ears."" (Mailer, The Naked and the Dead, 1948, p. 92) ¶ ""His lecherous advances at the company picnic crossed every line of decency. When he cornered her by the drinks table, whispering what he'd like to do to her, she finally decided to file that harassment complaint."" (Steinbeck, The Winter of Our Discontent, 1961, p. 155) ¶ ""There was something chilling about his lecherous stare - it wasn't just desire but a kind of predatory calculation. She felt like prey being sized up by a hunter who knew exactly how he would devour her."" (Ellis, American Psycho, 1991, p. 277) ¶ ""Tom's lecherous behavior at the party was barely concealed beneath his expensive suit and polished manners. The way his eyes followed Daisy's young cousin around the room didn't escape Nick's notice."" (Fitzgerald, The Great Gatsby, 1925, p. 63) ¶ ""The mechanic's lecherous appreciation of the car's curves was almost comical. He ran his greasy hands over the fender with the same lustful attention he gave the waitress at the diner."" (Ballard, Crash, 1973, p. 88)",,,2025-02-11 20:33
199,Apotegmas,,"La santidad está más allá de los vaivenes entre el bien y el mal; pero cuando dices que el bien y el mal no existen, pierdes la posibilidad de acceder a ella.",,,2025-02-11 20:32
198,Reflexiones,,Adivina adivinador: ¿En qué se asemejan la verdad y la mentira? En que ambas separan a las personas.,,,2025-02-11 20:30
197,Reflexiones,,Would you rather be a happy slave or a suffering freeman? Is there an intermediate option to meet your criteria?,,,2025-02-11 20:27
196,Vocabulario inglés-español,vermin [s.],"vermin [s.] parásito, alimañas ¶ One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. He lay on his armour-like back, and if he lifted his head a little he could see his brown belly, slightly domed and divided by arches into stiff sections. – Metamorphosis; by Franz Kafka. Translated by David Wyllie.",,,2025-02-11 20:23
195,Apotegmas,,Take it for granted: God cannot forsake you. It's not of his nature. But you can do things that make you forget about him almost forever.,,,2025-02-11 12:32
194,Citas,,"Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them. – William Shakespeare",,,2025-02-10 19:11
